序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,873706,铁拓机械,19.98,29.99,4.61,156551.0,292395400.83,29.6,19.98,15.43,15.43,15.37,3.36,61.01,31.04,3.38,1846256795.0,512701685.0,0.0,0.0,18.09,62.7
2,300175,朗源股份,6.53,20.04,1.09,726204.0,456395942.29,18.57,6.53,5.52,5.52,5.44,6.04,15.42,-77.65,5.43,3074324000.0,3074324000.0,0.0,0.0,-6.45,18.3
3,300103,达刚控股,7.55,20.03,1.26,316846.0,229436403.19,20.03,7.55,6.29,6.3,6.29,6.96,9.98,-65.1,3.99,2397887550.0,2395906030.0,0.0,0.0,4.14,20.03
4,300126,锐奇股份,8.27,20.03,1.38,384761.0,289227450.5,24.38,8.27,6.59,6.89,6.89,1.91,18.28,-120.57,2.36,2513729352.0,1740276188.0,0.0,0.0,35.8,61.21
5,688379,华光新材,28.37,20.01,4.73,39370.0,105982291.0,18.4,28.37,24.02,24.02,23.64,1.65,4.37,24.38,2.57,2555726202.0,2555726202.0,0.0,0.0,20.36,38.93
6,688165,埃夫特-U,38.28,20.0,6.38,563955.0,2020187004.0,17.96,38.28,32.55,32.67,31.9,1.46,10.81,-142.09,11.77,19973738400.0,19973738400.0,0.0,0.0,169.58,45.0
7,301382,蜂助手,47.64,20.0,7.94,372418.0,1551668608.36,25.04,47.64,37.7,39.39,39.7,2.11,27.27,85.9,6.12,10499164744.0,6506653335.0,0.0,0.0,76.51,79.64
8,300918,南山智尚,19.2,20.0,3.2,265536.0,497925815.83,6.88,19.2,18.1,18.9,16.0,0.67,6.95,44.14,3.39,7332149818.0,7332149818.0,0.0,0.0,66.96,86.23
9,300148,天舟文化,5.1,20.0,0.85,2187191.0,1049429329.9,21.41,5.1,4.19,4.22,4.25,3.05,27.28,152.43,4.49,4260230649.0,4088309609.0,0.0,0.0,19.44,40.5
10,301281,科源制药,35.89,19.99,5.98,113779.0,376920115.05,20.8,35.89,29.67,29.8,29.91,5.44,16.53,73.45,2.91,3886528100.0,2471098280.0,0.0,0.0,-3.55,19.99
11,301139,元道通信,31.82,19.98,5.3,203090.0,611175180.64,19.42,31.82,26.67,26.9,26.52,3.08,28.32,62.13,1.99,3868701056.0,2282194613.0,0.0,0.0,30.73,39.87
12,300074,华平股份,5.83,19.96,0.97,735689.0,412764697.04,21.19,5.83,4.8,4.87,4.86,1.48,13.8,-39.54,3.07,3118172585.0,3108036366.0,0.0,0.0,19.71,46.48
13,300159,新研股份,2.89,19.92,0.48,2686217.0,748490086.79,13.28,2.89,2.57,2.57,2.41,2.54,18.25,-18.29,-32.14,4340681517.0,4253615297.0,0.0,0.0,-24.54,4.71
14,301202,朗威股份,58.1,18.52,9.08,236236.0,1298787467.31,17.67,58.82,50.16,51.25,49.02,2.37,63.54,106.92,6.69,7924840000.0,2160158000.0,-0.15,-0.34,54.32,24.44
15,300500,启迪设计,12.63,17.16,1.85,180420.0,215693939.57,20.22,12.9,10.72,10.77,10.78,4.43,10.77,-96.27,1.85,2197302595.0,2116762172.0,0.0,-1.17,0.64,19.04
16,301336,趣睡科技,88.01,15.8,12.01,83409.0,652497563.87,30.49,91.2,68.03,70.68,76.0,2.05,32.4,138.5,4.39,3520400000.0,2265960378.0,-1.12,0.72,148.55,63.01
17,300873,海晨股份,22.1,14.98,2.88,353307.0,763630604.23,14.1,22.99,20.28,20.7,19.22,6.13,20.88,17.52,1.73,5096299316.0,3740197039.0,-0.23,-0.41,24.44,30.69
18,688388,嘉元科技,19.05,14.83,2.46,292424.0,528647909.0,17.42,19.35,16.46,16.46,16.59,3.34,6.86,-42.29,1.19,8119839234.0,8119839234.0,0.37,0.32,26.75,29.33
19,300153,科泰电源,32.99,14.15,4.09,635812.0,2053818435.22,15.47,34.48,30.01,31.0,28.9,1.15,19.97,316.26,12.29,10556800000.0,10501710593.0,0.24,2.1,293.68,108.4
